strength_k,diameter,resolution_order,m,eigen_index,real_sigma,imag_sigma,abs_sigma,edge_fraction,radial_roughness
8.0,3.3,40,6,46,3.120423710997733e-19,-181.64133233706733,181.64133233706733,0.17466830267326433,572.6681059186747
8.0,3.3,40,6,47,4.879265074909951e-19,179.30571761668912,179.30571761668912,0.1742709665919249,534.3560434177105
8.0,3.3,40,6,48,1.2290777810684143e-18,-163.2891747368486,163.2891747368486,0.16480972016707998,511.3321244111122
8.0,3.3,40,6,49,1.0098140722641133e-18,160.96274033760682,160.96274033760682,0.1652659682268956,474.7163416399617
8.0,3.3,40,6,50,-1.4138046720488677e-18,-145.8973940049426,145.8973940049426,0.15368479365786733,453.45875977230895
8.0,3.3,40,6,51,-1.530668038302672e-18,143.59049543661303,143.59049543661303,0.15310857252320897,418.4534976557617
8.0,3.3,40,6,52,-6.066891163980499e-19,-129.57848380949423,129.57848380949423,0.15177684555576954,398.9251723183208
8.0,3.3,40,6,53,-1.0215899096051201e-19,127.30265205488159,127.30265205488159,0.14939210546685314,365.49587067358004
8.0,3.3,40,6,54,1.851238440071242e-18,-114.30326729201916,114.30326729201916,0.16258795687565722,348.34758067291455
8.0,3.3,40,6,55,1.748758739049218e-18,112.04237393132325,112.04237393132325,0.15940905481844123,316.5125917832133
8.0,3.3,40,6,56,-8.185071093171887e-19,-99.961148966552,99.961148966552,0.17613027800735676,301.49616305197026
8.0,3.3,40,6,57,-1.4017052649887085e-18,97.72247139540599,97.72247139540599,0.173476043599826,271.0443611897132
