diameter,coupling,m,n_radial,quadrature_factor,real,imag,abs_sigma,residual,normalization_error,accessible_area_center,accessible_area_wall
3.3,20.75,9,24,8,6.869206606450636e-18,-262.7099642327873,262.7099642327873,8.135336919602155e-17,2.220446049250313e-16,3.1335275869254526,1.3669346978025931
3.3,20.75,9,24,8,-3.446878090149622e-17,254.52609154062134,254.52609154062134,9.191018446933712e-17,2.220446049250313e-16,3.1335275869254526,1.3669346978025931
3.3,20.75,9,24,8,-4.182553321861684e-15,212.48060120909267,212.48060120909267,5.852559747350975e-16,2.220446049250313e-16,3.1335275869254526,1.3669346978025931
3.3,20.75,9,24,8,-1.9299065944135447e-17,-161.0125912015458,161.0125912015458,1.0786560091866208e-17,2.220446049250313e-16,3.1335275869254526,1.3669346978025931
3.3,20.75,9,24,8,-1.8465142492262306e-14,-124.71392239456098,124.71392239456098,3.851553281446318e-17,2.220446049250313e-16,3.1335275869254526,1.3669346978025931
3.3,20.75,9,24,8,-4.1967031539774595e-15,125.21345754065703,125.21345754065703,1.3060750319177545e-16,2.220446049250313e-16,3.1335275869254526,1.3669346978025931
3.3,20.75,9,24,8,2.037506989299994e-14,120.5920470031538,120.5920470031538,1.6964446670696633e-16,2.220446049250313e-16,3.1335275869254526,1.3669346978025931
3.3,20.75,9,24,8,7.254312054588723e-16,-100.98129919048961,100.98129919048961,5.906254759625282e-18,2.220446049250313e-16,3.1335275869254526,1.3669346978025931
3.3,20.75,9,24,8,1.2115637058458944e-14,86.6627160643946,86.6627160643946,9.605050985286002e-17,2.220446049250313e-16,3.1335275869254526,1.3669346978025931
3.3,20.75,9,24,8,-8.302419511704032e-16,-76.25621456222646,76.25621456222646,9.249217287586155e-17,2.220446049250313e-16,3.1335275869254526,1.3669346978025931
3.3,20.75,9,24,8,5.02607945343846e-15,-73.54643130729494,73.54643130729494,4.179063258324581e-17,2.220446049250313e-16,3.1335275869254526,1.3669346978025931
3.3,20.75,9,24,8,-2.3679074101773706e-15,75.61422806184328,75.61422806184328,6.40321470213249e-17,2.220446049250313e-16,3.1335275869254526,1.3669346978025931
3.3,20.75,9,24,8,2.9350251276205087e-15,68.29022309066566,68.29022309066566,2.356349167756946e-17,2.220446049250313e-16,3.1335275869254526,1.3669346978025931
3.3,20.75,9,24,8,-5.658536280667401e-15,-63.12268256102744,63.12268256102744,2.8544699600781885e-17,2.220446049250313e-16,3.1335275869254526,1.3669346978025931
3.3,20.75,9,24,8,-1.0747478171992106e-16,62.14781619942687,62.14781619942687,3.858094873368334e-17,2.220446049250313e-16,3.1335275869254526,1.3669346978025931
3.3,20.75,9,24,8,-3.5939351319091336e-15,-58.08331779106509,58.08331779106509,2.3012868119852345e-17,2.220446049250313e-16,3.1335275869254526,1.3669346978025931
3.3,20.75,9,24,8,-2.048100296317524e-15,-52.23351706190563,52.23351706190563,2.4657140359949352e-17,2.220446049250313e-16,3.1335275869254526,1.3669346978025931
3.3,20.75,9,24,8,6.171105695256284e-16,-47.36085662826894,47.36085662826894,1.563591116531093e-17,2.220446049250313e-16,3.1335275869254526,1.3669346978025931
3.3,20.75,9,24,8,-3.5731848933015457e-16,-42.79417827385122,42.79417827385122,1.5333338317272678e-17,2.220446049250313e-16,3.1335275869254526,1.3669346978025931
3.3,20.75,9,24,8,-6.757103957145276e-17,-38.597085352585474,38.597085352585474,1.6474596886243842e-17,2.220446049250313e-16,3.1335275869254526,1.3669346978025931
3.3,20.75,9,24,8,6.071424381949759e-16,-34.748807583160186,34.748807583160186,1.847653379580814e-17,2.220446049250313e-16,3.1335275869254526,1.3669346978025931
3.3,20.75,9,24,8,-1.5625613848332782e-15,-31.311792914500067,31.311792914500067,1.870504237046767e-17,2.220446049250313e-16,3.1335275869254526,1.3669346978025931
3.3,20.75,9,24,8,8.108003670122731e-14,-28.40253866013295,28.40253866013295,3.631346844857673e-17,2.220446049250313e-16,3.1335275869254526,1.3669346978025931
3.3,20.75,9,24,8,1.8486168384072707e-13,-18.682898281195015,18.682898281195015,8.026234211668003e-17,2.220446049250313e-16,3.1335275869254526,1.3669346978025931
3.3,20.75,9,24,8,-2.650692417681111e-13,-25.21921045658278,25.21921045658278,2.3503430763740722e-17,2.220446049250313e-16,3.1335275869254526,1.3669346978025931
3.3,20.75,9,24,8,2.8683781072660813e-15,-21.939743743750785,21.939743743750785,4.4214390129864525e-17,2.220446049250313e-16,3.1335275869254526,1.3669346978025931
3.3,20.75,9,24,8,7.305865138540161e-18,57.03007142100413,57.03007142100413,3.315308579281336e-17,2.220446049250313e-16,3.1335275869254526,1.3669346978025931
3.3,20.75,9,24,8,2.5144182867089463e-17,51.62743499583749,51.62743499583749,2.1243915539504693e-17,2.220446049250313e-16,3.1335275869254526,1.3669346978025931
